Fund Name,Filename,Category,Start Date,End Date,Years,CAGR,CAGR_3Y,CAGR_5Y,CAGR_10Y,Abs_1Y,% Away from ATH,Mean Annual Return,Best 1y Return,Rolling 1y Mean,Rolling 2y Mean,Rolling 3y Mean,Rolling 4y Mean,Rolling 5y Mean,Rolling 1y Median,Rolling 3y Median,Skewness,Kurtosis,Positive Month %,Annual Volatility,Downside Deviation,Ulcer Index,Autocorrelation,Max Drawdown,Avg Drawdown,Worst Month,Worst Year,Negative Month %,VaR 95%,CVaR 95%,Recovery Ratio,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Sterling Ratio,Pain Index,Alpha,Beta,Upside Capture,Downside Capture,Roll 3Y 5th %,Roll 3Y 25th %,Roll 3Y Median,Roll 3Y 75th %,Roll 3Y 95th %,Vol_vs_Cat,Sharpe_vs_Cat,Sortino_vs_Cat,Alpha_vs_Cat,bad_days_pct,peer_outperformance_pct
WhiteOak Capital Multi Asset Allocation Fund Direct Plan Growth,WhiteOak_Capital_Multi_Asset_Allocation_Fund_Direct_Plan_Growth_151745,Hybrid - Multi Asset,2023-05-22,2026-01-09,2.64,0.1852460884809981,0.1852460884809981,,,0.1853779990946129,-0.0053181386514719,0.1649834075182985,0.2645783132530119,0.1845138778586942,0.187887138341858,,,,0.1811773991501196,,-0.814317754123781,6.920018046052261,0.9090909090909092,0.0457269155024391,0.0294073585900492,0.0060836667545853,0.0302035321519127,-0.0270825108566916,-0.0057849283252403,-0.0119760479041916,0.003705359994889,0.0606060606060606,-0.0038473144236572,-0.0063331101937513,6.840063296244434,2.7390014634666797,4.259005041118465,6.840063296244434,1.7511576688075163,0.0035631804901842,0.0880846170074732,0.3099555929508669,62.492512341430974,-20.93803701169388,,,,,,-0.0430919331662336,1.7535569385310223,2.810037336319445,0.0362959371700835,35.46875,43.75
DSP Multi Asset Allocation Fund - Direct - Growth,DSP_Multi_Asset_Allocation_Fund___Direct___Growth_152056,Hybrid - Multi Asset,2023-09-29,2026-01-09,2.28,0.232002646278725,,,,0.2525202201446352,-0.0108201155785072,0.2041163870638266,0.3247187840180621,0.1762503586337431,0.2115849696075273,,,,0.1554639458355444,,-1.2364208962784156,10.63040613619723,0.7586206896551724,0.0707572621568799,0.0472508451588738,0.0144209495226831,0.0524916653626449,-0.0513135948195835,-0.0128711899154859,-0.0170624663639741,0.0054678956413058,0.2068965517241379,-0.0059738242968164,-0.009799840408454,4.521270573508573,2.4308832907831883,3.640202533952399,4.521270573508573,2.0554638119119737,0.0089191299246571,0.1257330921725433,0.4090244991626759,85.63255627803251,-9.484411055643632,,,,,,-0.0180615865117929,1.4454387658475314,2.191234829153379,0.0739444123351535,40.232108317214696,64.28571428571429
WhiteOak Capital Multi Asset Allocation Fund Regular Plan Growth,WhiteOak_Capital_Multi_Asset_Allocation_Fund_Regular_Plan_Growth_151746,Hybrid - Multi Asset,2023-05-22,2026-01-09,2.64,0.1710733908798749,0.1710733908798749,,,0.1709625298145725,-0.005359126854454,0.153375007496663,0.2503147090152029,0.1707785818712927,0.1741188047214128,,,,0.1674437998502921,,-0.8311504290673004,6.922351889488564,0.9090909090909092,0.0457082000613442,0.0297524079955139,0.0064470584101607,0.032640203027795,-0.0276955094853117,-0.0060447518037596,-0.0129086465016804,0.0034284960770092,0.0606060606060606,-0.0038653454213226,-0.0063974131402547,6.176936047000801,2.430053923164884,3.733257183641153,6.176936047000801,1.6132188342187226,0.0038458638287688,0.0757509506816782,0.3100678445642824,59.44310270425305,-16.04210397368034,,,,,,-0.0431106486073286,1.4446093982292272,2.2842894788421324,0.0239622708442884,36.09375,43.75
Invesco India Multi Asset Allocation Fund - Direct Plan - IDCW,Invesco_India_Multi_Asset_Allocation_Fund___Direct_Plan___IDCW_153049,Hybrid - Multi Asset,2024-12-19,2026-01-09,1.06,0.225403206042946,,,,0.2434077079107506,-0.0080906148867313,0.198896509929557,0.2517911975435005,0.233386911006904,,,,,0.2334004024144869,,-0.0972910017395393,6.643070337214184,0.8571428571428571,0.0733892754353623,0.0460382979246903,0.0093193300768028,-0.0492345121729821,-0.0440744368266406,-0.0086516324700019,-0.0198807157057655,0.0024529844644316,0.0714285714285714,-0.0059372349448684,-0.0100629588761517,5.11414829710772,2.2537789760388782,3.5927306937696364,5.11414829710772,2.0745496493591897,0.0056844660994236,0.1395227708527723,0.4628825617421715,83.70298697349477,-23.70865811411635,,,,,,-0.0154295732333105,1.2683344511032213,2.143762988970616,0.0877340910153825,34.86590038314176,69.23076923076923
Invesco India Multi Asset Allocation Fund - Direct Plan - Growth,Invesco_India_Multi_Asset_Allocation_Fund___Direct_Plan___Growth_153047,Hybrid - Multi Asset,2024-12-19,2026-01-09,1.06,0.225403206042946,,,,0.2434077079107506,-0.0080906148867313,0.1989237399888119,0.2517911975435005,0.2331434615298191,,,,,0.2334004024144869,,-0.0845795355746268,6.542017272101633,0.8571428571428571,0.0737622656231137,0.046152918070832,0.009307859994805,-0.0516518986570274,-0.0440744368266406,-0.0087026573380133,-0.0198807157057655,0.0024529844644316,0.0714285714285714,-0.0059422750424447,-0.0101986920111751,5.11414829710772,2.242382397634979,3.5838081958132664,5.11414829710772,2.073575858794784,0.0056865739284491,0.1393670446162852,0.4707877020188676,84.12432370671554,-23.035963462727477,,,,,,-0.015056583045559,1.256937872699322,2.1348404910142462,0.0875783647788955,36.39846743295019,69.23076923076923
DSP Multi Asset Allocation Fund - Regular - Growth,DSP_Multi_Asset_Allocation_Fund___Regular___Growth_152053,Hybrid - Multi Asset,2023-09-29,2026-01-09,2.28,0.2153574346071347,,,,0.2366284509141651,-0.010919952058747,0.1909628639085575,0.3064029466673394,0.1609043124670273,0.1957629545376705,,,,0.1403171103045533,,-1.256838997588951,10.756834830078796,0.7241379310344828,0.0706936631929514,0.0476365564787298,0.0161610753078624,0.053551924761294,-0.0580006431754491,-0.0142465937640654,-0.018220413939501,0.0051685581527238,0.2413793103448276,-0.0060384885995499,-0.0098523821039976,3.7130180428463366,2.197614716655748,3.261306989654115,3.7130180428463366,1.8850228047225357,0.0099917385794955,0.1117271342325837,0.4090937560931269,82.17939638674568,-3.99997516831652,,,,,,-0.0181251854757214,1.2121701917200904,1.8123392848550948,0.0599384543951939,40.61895551257253,57.14285714285714
ICICI Prudential Innovation Fund - Direct Plan - Growth,ICICI_Prudential_Innovation_Fund___Direct_Plan___Growth_151580,Equity - Sectoral / Thematic,2023-05-02,2026-01-09,2.69,0.2855736302302794,0.2855736302302794,,,0.1071228266965789,-0.0237388724035608,0.2484738618290724,0.6295652173913042,0.265841368626694,0.2655708895352602,,,,0.1412974250159224,,-0.6275642878925785,4.674711298369088,0.7575757575757576,0.1096073387158315,0.0748732666724441,0.0462815057515843,0.0482243013729032,-0.1650992685475444,-0.0374839257798699,-0.0847651775486827,-0.0070422535211267,0.2121212121212121,-0.0111779879621668,-0.0161119691077943,1.7297086337365657,2.0580157576410336,3.012739262694652,1.7297086337365657,2.077141953943916,0.0265156179522375,0.1324067732980305,0.8027986109668591,125.8860362375799,43.030150157474274,,,,,,-0.0593449405724234,1.6820136775646364,2.480632184190743,0.1104321923657182,38.159879336349924,62.5
Invesco India Multi Asset Allocation Fund - Regular Plan - Growth,Invesco_India_Multi_Asset_Allocation_Fund___Regular_Plan___Growth_153046,Hybrid - Multi Asset,2024-12-19,2026-01-09,1.06,0.2083723606558054,,,,0.2263959390862944,-0.0082101806239736,0.1853778182905715,0.2356557377049182,0.2173028660983202,,,,,0.2165156092648539,,-0.0990487459603998,6.599610689506891,0.8571428571428571,0.0733330566382686,0.0461636091158004,0.0096332769843934,-0.0483674429731267,-0.0442477876106194,-0.0087077859569525,-0.0208955223880598,0.001658374792703,0.0714285714285714,-0.0060085836909871,-0.0100426242832595,4.709215350821211,2.023267097506717,3.2140546091969666,4.709215350821211,1.9168117427975149,0.006004285623747,0.1251794573308909,0.4649254767470713,80.03897900483072,-18.64628658320028,,,,,,-0.0154857920304042,1.0378225725710606,1.7650869043979465,0.0733907774935011,36.7816091954023,61.53846153846154
Invesco India Multi Asset Allocation Fund - Regular Plan - IDCW,Invesco_India_Multi_Asset_Allocation_Fund___Regular_Plan___IDCW_153048,Hybrid - Multi Asset,2024-12-19,2026-01-09,1.06,0.2083723606558054,,,,0.2263959390862944,-0.0082101806239736,0.1853887652674776,0.2356557377049182,0.2173435578582388,,,,,0.2165156092648539,,-0.1535943183074975,6.22845254689482,0.8571428571428571,0.0734767173629587,0.0464583767643178,0.0096993764719169,-0.0482190548862641,-0.0442477876106194,-0.0087747596953788,-0.0208955223880598,0.001658374792703,0.0714285714285714,-0.0060085836909871,-0.0101195429871396,4.709215350821211,2.0193112319223347,3.1936621765434148,4.709215350821211,1.9156315420907144,0.006082143904378,0.1251262416770903,0.4677012439417395,80.03897900483092,-18.646286583200443,,,,,,-0.0153421313057141,1.0338667069866778,1.7446944717443946,0.0733375618397005,36.39846743295019,61.53846153846154
ICICI Prudential Innovation Fund - Growth,ICICI_Prudential_Innovation_Fund___Growth_151579,Equity - Sectoral / Thematic,2023-05-02,2026-01-09,2.69,0.2704199844791339,0.2704199844791339,,,0.0944476244991414,-0.0244897959183673,0.2370336751965209,0.6097987751531058,0.2516402667516836,0.2514696635440143,,,,0.1291479566265713,,-0.631482280698767,4.701025981991613,0.7575757575757576,0.1096939081062115,0.0753005327176558,0.0483704175683368,0.0483895689037808,-0.1690590111642742,-0.0394778903099718,-0.0854300760678758,-0.0077841203943953,0.2121212121212121,-0.0108695652173912,-0.0162599710151512,1.5995597195133688,1.9182467660409543,2.794402335347574,1.5995597195133688,1.9388017977484464,0.0283186571115564,0.1203379507208931,0.80210298978182,123.1641168767378,48.76114283946384,,,,,,-0.0592583711820433,1.542244685964557,2.262295256843665,0.0983633697885808,37.254901960784316,56.25
